0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,classes
-634.4659994582,-52.4936049428,1965.1336196794,-63.3188169697,446.5595022763,-467.0955872772,-282.8087930194,118.5699994157,86.704366483,-492.9135987884,778.6070268835,-345.5343184335,116.458460758,732.8299557998,-414.6236590308,145.1432097259,-330.4491309849,-942.5140027559,268.9131435027,159.5923802305,180.0765585033,534.7815451581,3.8709274896,-10.3255717527,-166.7446251958,-415.8542810033,112.7320182607,-529.6336007666,148.7679821275,-37.7328137699,-268.7381927649,132.5700524868,-250.9188287375,74.6354720441,235.4284961897,3
-943.8333540054,-1328.3618538368,-657.1197135084,1891.2173675715,455.0639440508,52.7213144001,-265.6924441498,-826.7862558734,325.1932262558,249.4785425256,-78.7314755782,-245.7945376275,487.0024148975,-48.3530234228,491.1729848784,-56.5349968501,-210.915443888,-208.9442005522,-99.2032708096,-41.0435563687,145.9586109563,238.3949212256,-315.0297465912,-92.6371985012,-5.8750832717,-51.3203351686,-341.2540075698,84.5247974807,142.3062628088,-111.8911688188,220.3409177104,13.7129500969,51.4496228266,-344.3731530643,-67.4326154271,49
862.2954280716,-2540.592671459,648.7318959271,-198.3226790206,367.776172451,-27.2247399553,-405.0044149831,51.1655062845,930.6852337243,70.9711806501,-451.1683481917,-34.0733793607,262.7175317204,-541.1661044304,263.6901982228,-477.4236220753,-142.4715667084,-469.0346334249,-448.8092026287,273.590320295,-229.7215167562,-79.6728940652,255.5119057837,-359.6424418804,154.3534139092,234.2852184218,-482.8440878239,-251.0441737097,129.7299549022,-107.5409333937,-72.1487580604,190.8750796784,-124.7008138717,-237.3809677491,499.2398656946,65
-1471.9215607228,1713.6094379219,250.1345312993,-206.1579596097,307.0190942853,1039.5206594324,-651.7082647191,302.4830865434,1111.9125989667,115.6887005416,-387.4041913191,-700.2007761364,-32.8541583559,192.178552087,59.2859567293,-304.5674895455,-30.1934981073,40.7819229513,137.6350885833,26.156328969,104.536014629,265.8542111562,-295.1972594371,124.1856528511,-270.5662318838,-195.5295275648,107.1906077568,-123.4545421903,217.2297778865,3.956624064,-89.682229166,10.8540080482,-401.326408334,61.5916715908,-196.3249290022,94
-1120.0978672703,-597.3146559415,624.8119120004,905.5577461687,-677.737995449,-223.5879335996,204.9268376196,424.7053480959,-360.08093868,267.8315916954,346.1330644511,151.1131629673,836.1407407689,-42.1171657548,84.7341405783,61.0769497642,111.8012851427,159.5431426008,102.995655049,-45.1077527137,-17.0615298173,-96.2725431087,322.1412054683,207.4699712013,-207.0956085522,-2.6724906474,-44.1476514319,-112.7912625147,-162.2360988447,189.29574942,-121.3940143221,-77.3649188445,15.8478784641,9.0561385089,200.9117145446,84
-1363.2346876901,248.7254458916,695.5686793245,360.5616210016,-714.8504915851,544.5925398585,406.8830295196,873.25277303,-364.3205823058,162.7207947331,-35.0848821854,-21.8044971459,529.2026747294,-308.3893970471,-380.0007270361,90.6750686884,12.1114491629,-109.5950767615,227.407956921,-358.6492292029,-434.5053062243,-43.9515755232,54.2448318938,109.6103903836,89.2008755335,-21.1789439679,131.7740467643,8.8940334429,76.359598143,-98.2631460219,0.9556923928,-343.7621542134,86.8370023554,53.1334600279,217.0427693984,40
-622.5748238461,-943.5633123881,99.1766922667,1085.2060890093,-679.5960699024,-340.2202181711,278.4823430141,66.3248510733,24.5607586686,172.4567274577,303.7164055537,259.3126480097,515.7412660129,-109.0329146241,39.9157479715,263.1268879797,-244.5499469152,239.6844256636,79.2524690847,64.8747443549,-46.8761093115,-0.6893861301,221.3981646363,-59.1324555622,82.5936064492,136.5044292183,-81.7466645718,-228.6852182895,50.7402991766,16.5529721215,426.2472348789,-93.5890641001,279.1494865235,85.2310935998,183.6543154789,54
2242.8727392284,-334.8129406175,102.1470372386,-190.89802829,-22.7861227415,-363.6994590109,351.5710475115,854.6639704858,33.7808209218,-298.2657369802,-747.6019375131,84.8057872118,41.9691234669,-216.0642211628,307.8529369372,-319.6724627475,576.6405903419,35.5526424838,529.2910909169,44.1356502288,230.22286772,454.5072479127,222.3298097729,-177.2181577185,-518.5187454163,396.3092335876,199.4592276241,-255.5627167438,-20.6316511977,-536.7150686994,308.2323981041,-639.4716279155,-744.0023955559,-172.3534475372,-429.2061767822,78
-266.0459045629,1322.9823506306,-651.8570626317,597.1604480398,76.8100208372,-1142.562370618,277.6175213457,-689.4484944853,-100.800017345,320.6573796357,80.7821980351,98.7491531093,-278.4369217003,-323.2311630612,148.5076410224,-549.8685227119,289.2900822672,-123.5057275551,-208.5866728581,142.3211468433,-12.0501948836,-368.1066311169,246.2806705977,139.9573501604,-378.474346868,-373.0714606029,176.0200719273,227.7847214315,196.7889302717,200.5755005785,50.6956799351,269.5512600344,62.5388238584,154.2466337853,-86.8325198693,53
301.2081262281,249.3606989198,-1474.6650433654,472.4852465303,-185.2940864949,-699.0642769542,498.5349236479,-758.9771476486,-158.5983952612,-264.0859513599,513.9618411733,783.5178534319,631.4443061652,-226.2940400286,352.3161426387,166.4910821523,27.2806977086,223.0141083611,-18.7044903529,-93.2865310454,-24.8884691032,-36.8814611298,279.0135070779,328.6055967482,-278.3232279937,231.3306481708,151.4960688247,119.5561946602,73.4157486773,48.7637385422,109.6144302273,-136.1562194749,287.8396219569,25.3795663925,-68.4218489917,89
